Title,Ease_Score,Download_Count,Index
The Assyrian and Hebrew Hymns of Praise,67.1,61,47864
The Border Legion,85.6,119,4552
The Inside of the Cup — Volume 04,81.3,36,5359
The gold rock of the Chippewa,83.4,79,69747
"The Nightingale, the Valkyrie and Raven, and Other Ballads",83.3,61,26834
Spare Hours,58.5,145,27153
All About the Three Little Pigs,80.9,127,32504
Time and Its Measurement,67.7,167,44838
Discourses of Brigham Young,70.2,171,74447
"At Home and Abroad; Or, Things and Thoughts in America and Europe",64.1,263,16327
On the Ethics of Naturalism,51.6,81,48027
"Leaves of Life, for Daily Inspiration",81.2,337,14849
Five Little Peppers at School,82.5,90,26122
The Wolf-Leader,73,223,51054
The Life of Nancy,77.9,81,31473
The Day of Resis,75.8,40,67479
The Tragedy of Titus Andronicus,81.8,305,1507
Stories by English Authors: Africa (Selected by Scribners),77.6,174,1980
Picnic,85.3,71,68600
The Alo Man : $b Stories from the Congo,85.5,61,71257
The Greycliff Girls in Camp,81.3,52,62654
"Rambles in Rome
An Archæological and Historical Guide to the Museums, Galleries, Villas, Churches, and Antiquities of Rome and the Campagna",71.1,182,43416
"The Fourth Estate, vol. 1",68.6,67,38393
The Madcap of the School,73.2,126,28749
"Great Britain's Sea Policy
A Reply to an American Critic, reprinted from 'The Atlantic Monthly'",58.9,101,37227
A Whirl Asunder,83.4,51,67075
The Story of a Nodding Donkey,91.2,70,17679
Mont-Saint-Michel and Chartres,59.8,169,4584
Poor Relations,78.1,100,12900
How to conduct a small mail order business,74,103,71267
Giordano Bruno,48.4,122,4228
Peonage,44.6,48,31300
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 370, May 16, 1829",57.6,63,11347
A Trip to Manitoba,61.9,22,7099
Confiscation; An Outline,59.8,30,2611
Titan of Chasms: The Grand Canyon of Arizona,64.2,103,50355
"Mornings at Bow Street
A Selection of the Most Humorous and Entertaining Reports which Have Appeared in the 'Morning Herald'",64.8,110,35783
"Anthony Wayne, 1745-1796",60.5,64,65397
The White Horses,82.1,81,43551
"Blackwood's Edinburgh Magazine, Volume 66, No. 407, September, 1849",59,42,47968
"The ""Wearing of the Green,"" or The Prosecuted Funeral Procession",55.2,218,12853
"The New Science of Controlled Breathing, Vol. 1 (of 2)
The Secret of Strength, Energy and Beauty—Through Breath Control",60.6,96,61944
"Scientific American Supplement, No. 613, October 1, 1887",56.8,66,15889
What Every Girl Should Know,64.2,223,52888
The Missing Prince,76.9,108,45291
The women of the Caesars,48.4,140,16324
A Letter to the Bishop of Exeter,66.8,46,58105
Plashers Mead: A Novel,78.8,190,33206
"Bel Ami (A Ladies' Man)
The Works of Guy de Maupassant, Vol. 6",80.3,242,33928
"The Putnam Hall Rivals; or, Fun and Sport Afloat and Ashore",94.2,39,46872
"A Select Collection of Old English Plays, Volume 08",80.9,80,10467
The voice of the void,69.8,240,73952
A Wreath of Indian Stories,77.3,74,58693
Come Hither: A Collection of Rhymes and Poems for the Young of All Ages,82.6,177,62119
Rumanian Bird and Beast Stories Rendered into English,76.5,104,43059
Some Famous Women,74.6,58,49766
"Men, Women and Guns",80.7,121,36211
"Minnie; or, The Little Woman: A Fairy Story",84.5,59,36760
The Cadets of Flemming Hall,76.8,74,59005
"Memoirs of the Life of Sir Walter Scott, Volume 1 (of 10)",61.9,123,24497
Beauchamp's Career — Volume 2,71.1,31,4454
"In the Arctic Seas
A Narrative of the Discovery of the Fate of Sir John Franklin and his Companions",63.8,206,37669
In the Fire of the Forge: A Romance of Old Nuremberg — Volume 02,71.2,29,5544
"Farthest North, Vol. II
Being the Record of a Voyage of Exploration of the Ship 'Fram' 1893-1896",73.8,190,34120
The Elements of Child-protection,44.5,56,58787
A Complete Edition of the Works of Nancy Luce,80.8,48,29273
"The Bay State Monthly — Volume 2, No. 2, November, 1884",65.2,52,13741
Polly of the Circus,83.5,100,859
"Mr Punch's Model Music Hall Songs and Dramas
Collected, Improved and Re-arranged from Punch",76.3,58,39045
"Armenia, Travels and Studies (Volume 1 of 2)
The Russian Provinces",63.8,140,51492
Children of No Man's Land,73,144,74256
Latin for Beginners,68.5,1492,18251
Wonderful Adventures of Mrs. Seacole in Many Lands,60.1,450,23031
"The Oregon Territory, Its History and Discovery",50.3,95,38942
Bellini,58,77,41346
More Conjuring: Simple Tricks for Social Gatherings,78.2,438,32788
The Insurrection in Dublin,67.2,114,12871
Defenseless America,54.3,162,39893
"Summa Theologica, Part III (Tertia Pars)
From the Complete American Edition",67.4,236,19950
Memoirs of the Jacobites of 1715 and 1745. Volume I.,59.9,109,20946
"Encyclopaedia Britannica, 11th Edition, ""David, St"" to ""Demidov""
Volume 7, Slice 10",56.4,180,38892
"The Hohenzollerns in America
With the Bolsheviks in Berlin and Other Impossibilities",80.7,126,4781
Great Poems of the World War,84.1,333,56956
A Christmas Hamper: A Volume of Pictures and Stories for Little Folks,90.7,115,53299
"Toto, the Bustling Beaver: His Many Adventures",91.5,62,62794
Billy Whiskers: The Autobiography of a Goat,78.7,113,19167
"Working North from Patagonia
Being the Narrative of a Journey, Earned on the Way, Through Southern and Eastern South America",54.7,157,55455
Sink or swim? : $b a novel; vol. 1/3,61.1,53,72560
"Journeys Through Bookland, Vol. 6",74.9,399,21864
"Scientific American Supplement No. 822, October 3, 1891",55.7,80,14989
"Motion pictures and filmstrips, January-June 1970 : $b Catalog of copyright entries, third series, volume 24, parts 12-13, number 1",65.3,173,63357
Tales of a Traveller,65.5,526,13514
"The Western World
Picturesque Sketches of Nature and Natural History in North
and South America",63.9,127,24715
The Prodigals and Their Inheritance; vol. 2,79.5,45,62465
"New York at the Louisiana Purchase Exposition, St. Louis 1904
Report of the New York State Commission",63.9,86,9308
"History of Cuba; or, Notes of a Traveller in the Tropics
Being a Political, Historical, and Statistical Account of the Island, from its First Discovery to the Present Time",52.7,106,32812
"Alice, or the Mysteries — Book 09",70,60,9771
A Child's Garden of Verses,79.6,288,19722
Modern Spiritualism,66.2,87,27197
"Phebe, Her Profession
A Sequel to Teddy: Her Book",83,49,12584
The Scottish Chiefs,64.1,117,6086
The Great American Pie Company,90.7,77,44147
"Gardens of the Caribbees, v. 2/2
Sketches of a Cruise to the West Indies and the Spanish Main",69.3,75,43771
"Essays of an Americanist
I. Ethnologic and Archæologic. II. Mythology and Folk Lore. III. Graphic Systems and Literature. IV. Linguistic.",51.1,111,58464
Heiress of Haddon,78.1,61,15443
A Merry Scout,81,40,66888
Memoirs of Madame la Marquise de Montespan — Volume 1,66.3,64,3847
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 05 (of 10)
Andrea da Fiesole to Lorenzo Lotto",52.5,279,28421
Daireen. Volume 1 of 2,77.3,62,51936
Double Take,62.6,50,58826
Raleigh,66.1,101,27580
"The Indian's Hand
1892",93.3,57,23178
An Introduction to the History of Science,49.9,259,40706
"Uncle Sam, Detective",70.9,84,45474
Girl of the Silver Sphere,77,59,64267
A Century of Wrong,47.6,78,15175
The Eulogy of Richard Jefferies,73.7,136,36228
French enterprise in Africa : $b the personal narrative of Lieut. Hourst of his exploration of the Niger,71.8,94,71649
Social Life in the Insect World,68,257,18350
The great Skene mystery,81.3,63,70048
"The Crystal Ball
A Mystery Story for Girls",85.9,57,44062
"The American Gentleman's Guide to Politeness and Fashion
or, Familiar Letters to his Nephews",52.8,133,39005
"A Short History of Christianity
Second Edition, Revised, With Additions",48.5,305,52550
Travels in a Tree-top,75,80,55805
A Thousand Ways to Please a Husband with Bettina's Best Recipes,82.7,243,42868
Psichopath,74.2,51,30304
"Buds and Blossoms; or, Stories for Real Children",70.6,61,67695
The Hosts of the Lord,78.8,71,39991
"The art of money getting : $b or, golden rules for making money",64.6,2948,8581
"The Diplomatic Correspondence of the American Revolution, Vol. 02",62.7,72,52566
A Merry Dialogue Declaringe the Properties of Shrowde Shrews and Honest Wives,80.8,81,14282
Worlds of the Imperium,85.1,95,65792
"Northern Nut Growers Association, report of the proceedings at the eighth annual meeting
Stamford, Connecticut, September 5 and 6, 1917",69.9,91,19050
Sketches of Gotham,83.2,66,61454
"Pugilistica: The History of British Boxing, Volume 1 (of 3)
Containing Lives of the Most Celebrated Pugilists; Full Reports of Their Battles from Contemporary Newspapers, With Authentic Portraits, Personal Anecdotes, and Sketches of the Principal Patrons of the Prize Ring, Forming a Complete History of the Ring from Fig and Broughton, 1719-40, to the Last Championship Battle Between King and Heenan, in December 1863",67,139,59465
All Sorts and Conditions of Men: An Impossible Story,79.4,99,47098
The Indian To-day: The Past and Future of the First American,55.6,92,27448
"The Life, Adventures & Piracies of the Famous Captain Singleton",58.2,369,6422
The Story of My Life — Volume 06,62.8,88,5598
"""Short Sixes"": Stories to be Read While the Candle Burns",82.4,183,47405
"Books and Habits, from the Lectures of Lafcadio Hearn",63.9,84,14338
The Life and Perambulations of a Mouse,61.5,114,1904
"Hans Holbein the Younger, Volume 2 (of 2)",72,156,69502
The Complete Project Gutenberg Writings of Charles Dudley Warner,65.6,94,3136
An Interpretation of Friends Worship,71.3,89,24576
"An Historical View of the Philippine Islands, Vol 2 (of 2)
Exhibiting their discovery, population, language, government, manners, customs, productions and commerce.",43,79,39027
"Pyrrhus
Makers of History",55.7,134,27240
"The American Printer: A Manual of Typography
Containing practical directions for managing all departments of a printing office, as well as complete instructions for apprentices; with several useful tables, numerous schemes for imposing forms in every variety, hints to authors, etc.",64.1,254,56817
"The Raven
Illustrated",62.6,265,45484
"The Boy Aviators in Record Flight; Or, The Rival Aeroplane",80.9,61,45182
The vanguard of Venus,69.5,66,72597
Withered Leaves: A Novel. Vol. 1 (of 3),65.7,82,35371
The History of the Prince of Wales' Civil Service Rifles,58.9,240,51387
The Thirteen,75.7,332,7416
The Wind in the Willows,77.4,2262,27805
"Library of the World's Best Literature, Ancient and Modern — Volume 05",63.8,188,13520
Thérèse,77.3,126,73670
"The Girl's Own Paper, Vol. XX, No. 984, November 5, 1898",77.8,59,50478
The Harbours of England,52.7,110,21591
"Hours with the Ghosts or, Nineteenth Century Witchcraft
Illustrated Investigations into the Phenomena of Spiritualism and Theosophy",60.4,125,44349
On Revenues,66.7,134,1179
The Angel and the Demon: A Tale,83.8,62,67996
Watch and ward,82.5,86,72355
"The Girl's Own Paper, Vol. XX, No. 995, January 21, 1899",69.7,78,54735
